अनाज की लिस्ट(Corn list)		
		
चावल मील 	Chaval Meal	Rice Meals
चावल बॉयल्ड 	Chaval Boiled	Boiled Rice 
चावल बासमती	Basmati Chaval 	Basmati Rice 
दोसा चावल 	Dosa Chaval 	Dosa Rice
साबूदाना 	Sabudana	Sago Rice
बाजरा 	Bajra	Millet
साबुत मुंग 	Sabut Mung	Green Gram
चना	Chana	Bengal Gram 
उड़द घोटा 	Udad Ghota	Bengal Gram
हरा चना 	Hara Chana	Green Corn
काबुली चना	Kabuli Chana 	Chick Peas 
मोट्ट/मटकी 	Matki	TurkishGram 
गेहूं 	Genhun	Wheat
रागी 	Ragi	Finger Millet
हरे सूखे मटर 	Hare Sukhe Mater	Dry Green Peas
मूंगफली 	Munghfali	Groundnut
राजमा 	Rajma 	Kidney-Beans
चवली 	Chvali	Black Eyed Pea
जौ	Jau	Oat bram
मक्का 	Makka	Corn
		
आटा(Flours)		
गेहूं का आटा 	Gehun Aata	Wheat Flour
चावल का आटा 	Chaval Aata	Rice Flour
मैदा 	Maida	All Puepose Floue
बेसन 	Besan	Gram Flou
मक्कई आटा 	Makkai Aata	Cornflour
उपमा रवा 	Upma Rava	Wheat Semolina
इडली रवा 	Idly Rava	Rice Semolina
रागी का आटा	Ragi Aata	Finger Millet Flour
दलिया 	Daliya 	Broken Wheat
पोहा 	Poha	Bitten Rice
सेमिया 	Semiya 	Semolina
मुरमुरा 	Murmura	Puffed Rice
भुना हुआ रवा 	Bhuna Hua Rava	Rosted Rava
बाजरे का आटा 	Bajra Aata	Millet Flour
आटा कोदो 	Aata Kodo	Kodo Flour
		
		
 		
दाल(Pulse)		
		
मुंग दाल 	Mung Dal	Green Gram Pulse
चना दाल 	Chana Dal 	ChickPea Lentil 
कुल्थी दाल 	Kulthi Dal 	HorseGram Pulse
मसूर दाल 	Masur Dal 	Red Lentil
मटर दाल 	Matar Dal 	Pea Split Pulse 
तूर दाल	Toor Dal 	Split Red Gram
